index,Vietnamese,Rating,emotion,label,data_category
1,Bán toàn đồ móp không,1,negative,0,train
2,chả dùng được việc gì,2,negative,0,val
3,Chảo chiên ko đẹp,2,negative,0,train
4,chảo giao bị móp,1,negative,0,train
5,giao hàng quá chậm,3,negative,0,train
6,the fan can't turn on,5,negative,0,train
7,"  hàng giao nhanh. đóng gói cẩn thận. rất hài lòng. nhưng đăng kya bảo hành chưa thấy hồi âm. vẫn chờ
",5,positive,2,train
8,- Bàn ủi đẹp -1 lần đổ nước ủi đc 1 cái áo. - ủi đủ thẳng chứ ko như bàn ủi thường đc. - thích hợp cho ai làm biếng hoặc đi du lịch.,5,positive,2,val
9," Đã nhận được hàng shop đóng gói cẩn vô cùng nhiều lớp chống sốc nên nguyên vẹn Ko bị móp méo, nồi đẹp chuẩn khỏi phải bàn mua dip 12/12 được tặng 1 nồi, cảm ơn shop ",5,positive,2,val
10,"- đóng gói : shop đóng hàng cẩn thận, chắc chắn. - giá : săn sale giá quá hời cho những chiếc chảo xịn xò, xinh xắn. - chất lượng sản phẩm: nhắc đến Tefal thì No1 +chảo chống dính xuất sắc: mình đã thử bằng việc chiên trứng với 1 lượng dầu rất ít xịt trên bề mặt, trứng k hề bị dính ở chảo như những loại chảo khác. + báo nhiệt thông minh giúp mình điều chỉnh được nhiệt độ giúp món ăn ngon hơn và an toàn cho sức khoẻ. + chảo đc phủ vânđá nên rất dễ dàng vệ sinh. Đây là bộ sưu tập Tefal của mình",5,positive,2,train
11, đóng gói cẩn thận giao nhanh ok quá,5,positive,2,train
12,"- đóng gói rất kĩ 
- cối thuỷ tinh nên rất nặng tay, bê 2 tay nên vệ sinh hơ khó
- xay và nấu khá ngon, mịn (chỉ mới thử sữa bắp, bí đỏ)
- đầu cắm 3 chấu
- khi vận hành máy khá ồn, tương đương máy hút bụi nên hơi ngại khi nhà ở chung cư",4,positive,2,train
13,"- Giao hàng nhanh chóng, đặt hàng khung giờ 0-2h ngày 11/11 đến trưa ngày 12/11 đã nhận được hàng. - Hình thức nồi đẹp, đóng gói cẩn thận. - Tuy nhiên đặt hàng khung giờ 0-2h có quà tặng là chảo rán nhưng không thấy đính kèm với nồi. Mong Tefal phản hồi sớm. Vẫn vote 5 sao cho hãng.",5,positive,2,train
14,"- giao hàng nhanh, đóng gói cẩn thận - vẫn chưa xài nên sẽ phản hồi kết quả sử dụng sau",5,positive,2,train
15," giao hàng nhanh, đóng gói kỹ càng, chảo đẹp, tuy hơi nhẹ nhưng mong rằng sẽ sử dụng tốt, đánh giá 5 sao ",5,positive,2,train
16,"- Giao hàng:  nhanh. ( khuya đặt 2h là 16 giờ giao)
- Gói hàng kỹ.
- Chưa xài nên chưa biết chất lượng ra sao, nhưng về mẫu mã mình thấy ok. 
- Mình thấy có bạn mua 2 chảo như mình được tặng chảo lớn,  nhưng mình lại không thấy hàng tặng.
",4,positive,2,train
17,"- Lần đầu săn đc chảo Tefal. Đúng là hàng Tefal xịn xò có khác, nhận hàng cảm thấy rất ưng: nho nhỏ xinh xinh dùng để rán trứng thì tuyệt vời hết xảy. Rất phù hợp để nấu mấy món ít ít nho nhỏ. Đóng gói cũng tương đối cẩn thận, chảo rất nhẹ luôn, nhận hàng mà cảm giác như thùng rỗng vậy :)) - Hơi tiếc là loại này ko sài đc cho bếp từ, mà giờ bếp từ là điều quá hiển nhiên và bt rồi :((",5,positive,2,train
18," Mặc dù ở tỉnh xa xôi nhưng shop giao hàng nhanh chóng , hàng đẹp , shop đóng gói kĩ càng ,chắc chắn .",5,positive,2,val
19,"- Mỗi ngày ăn hũ sữa chua Da xinh, dáng đẹp, khoẻ ngay liền nè - Để tăng sức đề kháng thì mỗi sáng nên ăn sữa chua nha quý zị - Healthy ko khó đã có sữa chua lo nha - Thứ 2 sảng khoái ăn schua thoải mái n - Sữa chua phomai- tình đậm mãi ko phai - Sữa chua lá dứa- - Sữa chua than tre Xếp hangf chờ đợi đã lâu",5,positive,2,train
20,"
🥰Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này.
",5,positive,2,train
21,(TB) Dich vu MyTunes TANG 10.000d vao TKC cua Quy khach khi soan DK gui 1599 (0d) sau 8 ngay duy tri dich vu. Sau km 3000d/tuan. Chi tiet (0d) hoac truy cap mytunes.vn. Cam on Quy khach.,5,positive,2,train
22,"* Nồi chiên không dầu Tefal EY701D15(XXL-5.6L-1700W) bị lỗi (lỗi thoát hơi nóng tại vị trí giữa thân nồi và khay nướng). Mới đầu liên hệ thì Tefal store từ chối yêu cầu đổi sản phẩm lỗi, nhưng sau đó thì Tefal store đã cầu thị đổi mới sản phẩm cho khách hàng và tặng kèm vourcher 20%, tuy sản phẩm đổi chưa được ưng ý 100%, nhưng vẫn ghi nhận dịch vụ sau bán hàng của Tefal store đã quan tâm đến KH. * Riêng Lazada thì đề nghị xem lại bộ phận kiểm tra hàng lỗi (Dispute VN Team) làm kiểu gì ? mà khi khách hàng (KH) gửi sp lỗi kèm hình ảnh lỗi cho Lazada để kiểm tra, nhưng sau khi kiểm tra xong thì Lazada phán sp không đủ điều kiện đổi trả và gửi trả lại sp cho KH. KH tiếp tục khiếu nại thì lại bắt KH quay video sp để làm bằng chứng gửi lại cho Lazada xem xét. Cho đến giờ KH đã được Tefal store đổi sp mới rồi, nhưng Lazada vẫn chưa giải quyết xong cái sp lỗi theo cái quy trình vòng lập không hồi kết !? (KH đã nhận xét lại ngày 03/6/2021 sau khi đã được Tefal Store đổi sp mới)",5,positive,2,train
