Product Name,Product ID,URL,Product Visitors,Product Pageviews,Visitor Value,Add to Cart Visitors,Add to Cart Units,Add to Cart Conversion Rate,Wishlist Visitors,Wishlists,Buyers,Orders,Units Sold,Revenue,Conversion Rate,Revenue per Buyer,Average Cancellation Rate,month
"Máy làm sữa hạt, xay sinh tố và nấu đa năng Tefal BL967B66 - Bảo hành 24 tháng - Hàng chính hãng - Thương hiệu Pháp",878868949,-i878868949-s2519222497.html?urlFlag=true,8066,24834,118150.8,695,912,8.62%,429,433,370,420,432,953004368,4.59%,2575687.48,,1
"Nồi chiên không dầu điện tử XL 4.2L, Tefal EY401D15 -Công suất 1500W- nướng gà nguyên con không cần trở, lòng nồi bằng thép không rỉ phủ chống dính, -Bảo hành 24 tháng-Hàng chính hãng-Thương hiệu Pháp",854036295,-i854036295-s2404528204.html?urlFlag=true,8602,30601,98981.73,681,865,7.92%,616,625,299,335,338,851440834,3.48%,2847628.21,,1
Nồi áp suất điện Tefal CY601868 6l - Bảo Hành 12 tháng - Hàng chính hãng,878986913,-i878986913-s2519432936.html?urlFlag=true,7465,23688,94460.04,674,853,9.03%,447,448,420,473,481,705144167,5.63%,1678914.68,,1
"Nồi chiên không dầu cơ XL 4.2L, Tefal EY201815-Công suất 1500W-Lòng nồi bằng thép không rỉ phủ chống dính, nướng gà nguyên con không cần trở, gian hàng chính hãng bảo hành 24 tháng",1071274457,-i1071274457-s3687630129.html?urlFlag=true,10648,31029,42758.57,757,947,7.11%,308,311,194,229,229,455293220,1.82%,2346872.27,,1
"Nồi chiên không dầu điện tử vỏ thép XXL 5.6L Tefal EY701D15- Giỏ chiên chống dính, không cần lật trở, Công suất 1850W, chính hãng bảo hành 24 tháng",1070478372,-i1070478372-s3687334574.html?urlFlag=true,5115,13614,84775.34,325,425,6.35%,139,141,103,118,127,433625879,2.01%,4209959.99,,1
"Nồi cơm điện tử Tefal Fuzzy logic RK733168 - 1.8L- Lòng nồi niêu vân đá chống chính, menu tiếng Việt, 8 chức năng nấu, hàng chính hãng bảo hành 2 năm",996170912,-i996170912-s3201010188.html?urlFlag=true,20875,56065,13433.07,1284,1605,6.15%,532,536,296,319,321,280415255,1.42%,947348.83,,1
"Nồi chiên không dầu cơ vỏ thép XL 4.2L, Tefal EY201D15, không cần trở, giỏ chiên chống dính, nướng gà nguyên con, dễ vệ sinh , chính hãng bảo hành 2 năm",872812108,-i872812108-s2495422053.html?urlFlag=true,3792,11011,71578.83,281,342,7.41%,152,153,113,125,125,271426936,2.98%,2402008.28,,1
"Bàn ủi hơi nước đứng Tefal - QT1020E0, hàng chính hãng bảo hành 2 năm",867366793,-i867366793-s2468298590.html?urlFlag=true,2877,6621,87817.05,120,145,4.17%,83,84,62,66,68,252649650,2.16%,4074994.35,,1
"Máy ép chậm trái cây TEFAL ZC150838, công nghệ ép lạnh, ép êm, hàng chính hãng bảo hành 2 năm",803828141,-i803828141-s2181590278.html?urlFlag=true,4231,10851,58336.46,260,300,6.15%,122,122,81,90,91,246821547,1.91%,3047179.59,,1
"Nồi cơm điện tử cao tần Tefal RK808168 1.5L, lòng nồi niêu chống dính, 16 chức năng, nầu cơm cháy , 1200W, chính hãng bảo hành 2 năm",654896497,-i654896497-s1570946536.html?urlFlag=true,4276,14637,53071.48,409,488,9.57%,177,177,124,139,139,226933632,2.90%,1830109.94,,1
